"FID"	"IID"	"plant_height"	"trait_code"	"source_panel"	"analysis_environment"
"@52067200649406102410408632092233"	"342"	"135.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-G05"	"343"	"146.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-G06"	"344"	"148.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-G07"	"345"	"134.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-G08"	"346"	"124.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-G09"	"347"	"154.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-G10"	"348"	"120.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-G11"	"349"	"139"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-F01"	"350"	"120.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-H02"	"353"	"121.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-H04"	"355"	"155"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-H05"	"356"	"147"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-H06"	"357"	"171.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-H07"	"358"	"114"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-H08"	"359"	"135.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-H09"	"360"	"148.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090209-D04"	"361"	"129.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-H10"	"363"	"99.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-H11"	"364"	"94.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649407102410408632092338"	"365"	"80.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-G05"	"366"	"110"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-F03"	"367"	"73.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090331-H12"	"368"	"160"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D09"	"369"	"147.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-G06"	"370"	"163.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-G07"	"371"	"129.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-G08"	"372"	"162"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092303"	"373"	"209"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-G12"	"376"	"159.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090415-F04"	"377"	"155.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-H01"	"378"	"136.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-H03"	"380"	"105"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-H04"	"381"	"158.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-H07"	"384"	"150"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-H08"	"385"	"147"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-H09"	"386"	"146.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-H10"	"387"	"102"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649407102410408632092336"	"388"	"81"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090302-H12"	"389"	"143"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090820-C04"	"390"	"126.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D10"	"391"	"125"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090325-D11"	"392"	"150"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090330-E01"	"394"	"144.3"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090330-E02"	"395"	"141.7"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"090330-E03"	"396"	"74.8"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
"@52067200649406102410408632092300"	"397"	"77.5"	"A_PH"	"USDA_RDP1"	"RDP1_demo"
